 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
     40   bfs   11,820582 0:00:14  0,0011  0,1560               0,0015
     42   bfs   12,624170 0:00:15  0,0013  0,1844               0,0017
     44   bfs   14,578535 0:00:17  0,0015  0,2083               0,0019
     46   bfs   13,331822 0:00:16  0,0014  0,1917               0,0018
     48   bfs   13,778306 0:00:16  0,0014  0,1991               0,0019
      2   bfs    2,211439 0:00:04  0,0003  0,0433               0,0004
      4   bfs    2,446207 0:00:05  0,0003  0,0458               0,0004
      6   bfs    2,960597 0:00:05  0,0004  0,0508               0,0005
      8   bfs    3,425604 0:00:06  0,0004  0,0557               0,0005
     10   bfs    3,926353 0:00:06  0,0004  0,0613               0,0006
     12   bfs    4,076151 0:00:06  0,0004  0,0627               0,0006
     14   bfs    6,271656 0:00:08  0,0006  0,0844               0,0008
     16   bfs    6,472061 0:00:09  0,0006  0,0865               0,0008
     18   bfs    6,549177 0:00:09  0,0006  0,0891               0,0008
     20   bfs    7,487846 0:00:10  0,0007  0,0986               0,0009
     22   bfs    7,666715 0:00:10  0,0007  0,1016               0,0009
     24   bfs    8,542881 0:00:11  0,0008  0,1115               0,0010
     26   bfs    9,661021 0:00:12  0,0008  0,1168               0,0011
     28   bfs   10,387217 0:00:13  0,0009  0,1244               0,0012
     30   bfs   10,519641 0:00:13  0,0009  0,1272               0,0012
     32   bfs   10,798282 0:00:13  0,0009  0,1298               0,0012
     34   bfs   11,309380 0:00:14  0,0009  0,1311               0,0012
     36   bfs   11,062774 0:00:13  0,0009  0,1306               0,0012
     38   bfs   11,374667 0:00:14  0,0009  0,1323               0,0012
     40   bfs   12,136230 0:00:14  0,0012  0,1716               0,0016
     42   bfs   12,162136 0:00:14  0,0013  0,1774               0,0017
     44   bfs   13,257626 0:00:15  0,0014  0,1918               0,0018
     46   bfs   14,101779 0:00:16  0,0014  0,2030               0,0019
     48   bfs   14,321334 0:00:16  0,0015  0,2059               0,0019
      2   bfs    2,228921 0:00:04  0,0003  0,0433               0,0004
      4   bfs    2,474105 0:00:05  0,0003  0,0461               0,0004
      6   bfs    3,078344 0:00:05  0,0004  0,0523               0,0005
      8   bfs    3,163911 0:00:05  0,0004  0,0527               0,0005
     10   bfs    3,965287 0:00:06  0,0004  0,0613               0,0006
     12   bfs    4,056792 0:00:06  0,0004  0,0623               0,0006
     14   bfs    5,957838 0:00:08  0,0006  0,0811               0,0008
     16   bfs    6,673207 0:00:09  0,0006  0,0882               0,0008
     18   bfs    6,888954 0:00:09  0,0006  0,0905               0,0008
     20   bfs    7,879762 0:00:10  0,0007  0,1012               0,0009
     22   bfs    7,965012 0:00:10  0,0007  0,1015               0,0009
     24   bfs    8,572338 0:00:11  0,0008  0,1074               0,0010
     26   bfs   10,366869 0:00:13  0,0009  0,1263               0,0012
     28   bfs   10,260314 0:00:12  0,0009  0,1247               0,0012
     30   bfs   10,408297 0:00:13  0,0009  0,1253               0,0012
     32   bfs   10,987299 0:00:13  0,0009  0,1293               0,0012
     34   bfs   10,556038 0:00:13  0,0009  0,1279               0,0012
     36   bfs   10,768062 0:00:13  0,0009  0,1307               0,0012
     38   bfs   11,777814 0:00:14  0,0011  0,1515               0,0014
     40   bfs   12,549606 0:00:15  0,0013  0,1806               0,0017
     42   bfs   12,373488 0:00:15  0,0013  0,1772               0,0016
     44   bfs   13,355288 0:00:16  0,0014  0,1921               0,0018
     46   bfs   13,776143 0:00:16  0,0014  0,1986               0,0018
     48   bfs   14,766501 0:00:17  0,0015  0,2111               0,0020
      2 histo  499,445984 0:08:20  0,0341  4,8342               0,0450
      4 histo  955,620300 0:15:56  0,0684  9,6911               0,0902
      6 histo 1215,409912 0:20:16  0,0896 12,6972               0,1181
      8 histo 1502,546387 0:25:03  0,1150 16,2978               0,1516
     10 histo 1446,258057 0:24:06  0,1127 15,9784               0,1486
     12 histo 1705,068237 0:28:25  0,1359 19,2608               0,1792
     14 histo 2223,469971 0:37:04  0,1809 25,6446               0,2386
     16 histo 2286,621094 0:38:07  0,1913 27,1243               0,2523
     18 histo 2754,549805 0:45:55  0,2380 33,7408               0,3139
     20 histo 2397,996094 0:39:58  0,2115 29,9850               0,2789
     22 histo 2295,459473 0:38:15  0,2099 29,7557               0,2768
     24 histo 2588,439453 0:43:08  0,2387 33,8398               0,3148
     26 histo 3256,030518 0:54:16  0,2997 42,4966               0,3953
     28 histo 2309,222168 0:38:29  0,2088 29,6024               0,2754
     30 histo 3219,611328 0:53:40  0,2935 41,6171               0,3871
     32 histo 2435,175537 0:40:35  0,2158 30,5925               0,2846
     34 histo 3099,455566 0:51:39  0,2791 39,5668               0,3681
     36 histo 3383,938965 0:56:24  0,3096 43,8878               0,4083
     38 histo 3169,005371 0:52:49  0,2752 39,0220               0,3630
     40 histo 3387,495850 0:56:28  0,3099 43,9328               0,4087
     42 histo 3441,060303 0:57:21  0,3125 44,3070               0,4122
     44 histo 3541,864746 0:59:02  0,3233 45,8363               0,4264
     46 histo 3912,087158 1:05:12  0,3635 51,5341               0,4794
     48 histo 3624,277100 1:00:24  0,3332 47,2406               0,4394
      2 histo  657,952942 0:10:58  0,0448  6,3529               0,0591
      4 histo  953,410706 0:15:54  0,0680  9,6468               0,0897
      6 histo 1161,456543 0:19:21  0,0855 12,1157               0,1127
      8 histo 1381,748901 0:23:02  0,1043 14,7858               0,1375
     10 histo 1515,460815 0:25:16  0,1189 16,8522               0,1568
     12 histo 1637,591064 0:27:18  0,1290 18,2899               0,1701
     14 histo 2421,915283 0:40:22  0,1943 27,5515               0,2563
     16 histo 2274,042236 0:37:54  0,1885 26,7279               0,2486
     18 histo 2459,699707 0:41:00  0,2111 29,9338               0,2785
     20 histo 3015,415527 0:50:16  0,2648 37,5402               0,3492
     22 histo 2694,952148 0:44:55  0,2424 34,3689               0,3197
     24 histo         NaN     NaN     NaN     NaN                  NaN
